ID,content
1,"game rusak, dapat tim gajelas padahal history permainan lebih jauh unggul, main solo di kasi tim tolol, jangan download nih game kalo gamau dikatain"""
2,bang bagus
3,game jelek banyak bug sama ketemunya rank gak sesuai padahal saya solo
4,"moonton ini kenapa kalo pake wifi aku main rank gak bisa masuk, tiba² kredit score nya ngurang ini dari update yg kemarin tolong benerin moonton."
5,game taik. ubalah sistem jaringannya moonton setiap dalam pertandingan ada aja gejala terutama jaringan yang kadang tiba-tiba putus. semuanya bagus hanya jaringan harus di tingkatkan agar pertarungannya baik dan pengalaman bagus.
6,"game aneh data ngelag, wifi+data jg ngelag"
7,seru
8,ini ml kenapa dah gua udah download beberapakali ini gem gak bisa di mainin kenapa dah gua kan login ml tadi kesetak di nama mobillegin aja yang ada nama babang gitu ini ml Napa dah jadinya gua malas main ml
9,"pemain drak sistem,musuh pemain nya pada jago tim ku pada draksistem"
10,moonton pinter ganteng kalo niat bikin game yg bnr timnya GK pernah bnr
11,"Woy moonton kalo ngasih team yang sesuai lah masa macth ribuan di kasih team yang masih puluhan aneh banget , udah tiba tiba jaringan down update gede ga ada perubahan malah makin parah"
12,"apaan ini Moonton mana bintang saya saat bermain rank padahal sudah menang tapi malah GK dapat bintang terus malah muncul gini pertandingan disimpan,terus pas di loby ada tulisan gini anda tidak bisa memainkan rank selama 5 menit,terus bintangnya GK nambah padahal sudah menang dan saya mvp tolong hormati saya sebagai jungler,terima kasih"
13,mau naik legend di kasih musuh yng pro lalu di kasih tim dark system
14,perbaikan sistem moonton solo ketemu solo tim jago musuh jago jadi normal player jadi gampang untuk menjalani permainan 👍
15,"gamenya sangat bagus bahkan saya sering bertemu player beda peringkat game ramah,tim sangat pro player saya sangat senang😊"
16,saya di buat naik dara oleh player player yg bermain tidak sesuai ketentuan hero/lane
17,Assalamualaikum moonton semoga rejekimu lancar tapi bikin fitur gif ke player baru belum dapat apa2 emblem belum max nah kan player lama dapat banyak bisa gif tolong....
18,gua suka banget
19,kalo milihin tim yang bagus napaa rank gww gak naik naik malah tambah turun e'eq
20,mantap
21,"monton bisakah di fix org² yg ngetrol atau di beri efek jera jngn cuma di kurangin kredit skor, kalo cuma dikurangin kredit skor org gak akan jera"
22,"game ga cocok buat di mainin padahal belum kalah tiba² udah di loby, jangan di mainin nih game dongo"
23,"yang betul"" lah masa dikit"" lag mulu padahal wifi lancar"" aja susah nih mau push rank"
24,meningan kalian hapus ML saya udah kalah 30 kali menang cuman 1 kali yang tadi nya di meatik jadi ke epic kenapa karena saya kalah mulu lawan nya kuat sedangkan saya baru pertama main
25,karna game nya seru
26,BUG ML RANK MENANG TAPI BINTANG NGAK NAMBAH HASIL PERTANDINGAN BGAK ADA PADHAL DI REPLAY ADA TON MONTOOO
27,lawak server gjls jaringn bagus setim gabisa gerak
28,game nya enak banget
29,"game rusak gini masih ada yang maenin?? , apdet lagi tuu servernya ngeleg mulu padahal sinyal udah bagus"
30,ayo kita install game buruk game yg tidak gairplay ini...kita pindah ke game tetangga..
31,udah beli skin mpl tapi gk ada tulisan mpl tolong diperbaiki udah topap 700 daimen
32,moonton tolol ksih tim tu yang sepadan sama kawan coba dasar moonton2
33,kasih gw mythic plis
34,sistem nya harap di benerin moonton
35,main game bikin stres kalah mulu
36,"game nya seru, tapi saat saya telah memenangkan game ini, bintang pada rank saya tidak bertambah, padahal saya sama sekali tidak melakukan pelanggaran seperti afk, ngetroll, dll, tapi tiba² koneksi nya langsung ngelag, padahal ping nya bagus, jadi saya kasih bintang satu, bahkan game ini TIDAK LAYAK MENDAPATKAN BINTANG SATU😹"
37,woi moonton ini kenapa dah pas gw selesai main rank kan victory. kok tiba tiba ada tulisan menghubungkan kembali jika tidak bisa kredit skor akan berkurang -5. dan bintang gw kok gak nambah. padahal sudah victory. dan pas gw cek histori pertandingan gak ada. dan pas cek riwayat player tadi gak ada satupun.
38,game nya seru tapi developer nya kikir
39,apalah gw main tiba tiba hilang koneksi dari montoon nyaa eh gatawu habis login kembali bintang gw ga nambah apalagi hasil pertandingannyaa ga ada. apalah tambah ga mood main jirrrr
40,mobile legend bukan hanya kolep sama anime tapi juga kolep sama kartun SpongeBob dan juga seru sangat bagus
41,izin maaf sebelumnya.. saya mohon kalo bagi tim itu yang adil saya main solo temen saya mentok honor smua..musuh udah sampe immortal..tolong yang adil bagi tim nya ya moonton
42,game gajelas dapat tim tolol sama kayak apk nya
43,"Dikasih musuh yg susah TERUSS, terus masih ada cheat, gw stuck di epic"
44,"MOONTON KENAPA SETELAH MENANG TIBA2 KONEKSI TERPUTUS, HISTORY 1 TIM HILANG DAN BINTANG KAMI GA NAIK? BENERIN SISTEM LU TLOL"
45,"kalo abis main sematch, terus servernya error malah ga masuk history terus bintang juga ga nambah, benerin dong bugnya. tapi di replay ada"
46,"GARA GARA ADA FITUR PILIH LANE ORANG""JADI PADA GAK MAU ROAM,MACTH MAKING SAMPE 4/5 MENIT MNDING KALAU IMO INI BARU MHTYC 25 AJA SUSAH CARI LAWAN SAMPE 3X MATCHMAKING NUNGGUIN JADI MALES MAIN"
47,moonton kasih gua menang yaa gua mau mythic lagii🙏🙏
48,GAME NYA SANGAT SERU BINTANG 🌟🌟🌟🌟🌟
49,"tiba tiba banget pas main rank game nya tiba tiba menghubungkan kembali, terus pas coba relog ga mau masuk ke pertandingan rank nya apa coba 😡😡 padahal jaringan aman semua di fix dong moonton, ada bug habis update hero, lord, turret nge glitch 😑"
50,aku lagi ngerank malah gak naik bintang aku juga udah update
51,Game sangat layak dimainkan oleh penyabar dan sangat bagus game MOBA terbaik di android atau pun ios dan mode rank nya sangat lah Adil dan player nya sangat lah ramah dan tidak egois dan kompak tapi kemarin saya kehilangan 12 bintang dari 59 bintang tapi kehilangan bintang 12 itu sangat bisa dikembalikan lagi pokoknya ini game MOBA terbaik di android atau pun di IOS terimakasih moonton
